id,estimator,pipe,total_folds,fold,loss,metric
81741078,LinearRegression,pipe1,5,1,3.610648717992575,0.6654501713488
42985088,LinearRegression,pipe1,5,2,3.3273151381810853,0.6917428203678173
83205180,LinearRegression,pipe1,5,3,3.1940234215075898,0.7046739094381776
92318646,LinearRegression,pipe1,5,4,2.9860287383623154,0.7235773257034003
87816764,LinearRegression,pipe1,5,5,3.405252367392193,0.7188728546492624
27809862,Ridge,pipe1,5,1,3.5977047682714614,0.6679243322089157
30884452,Ridge,pipe1,5,2,3.3198202191595065,0.6929998925878481
48405845,Ridge,pipe1,5,3,3.1970361778865435,0.7043899855576709
89056066,Ridge,pipe1,5,4,2.980615338130624,0.7241153118902095
8491494,Ridge,pipe1,5,5,3.4034680540837003,0.7186083652881444
37313624,Lasso,pipe1,5,1,3.329855231512016,0.7071012886895406
45801659,Lasso,pipe1,5,2,3.344384741977147,0.6795686902881152
40670473,Lasso,pipe1,5,3,3.5049528229664126,0.6703012836756578
19753546,Lasso,pipe1,5,4,3.0943877999410683,0.7030070275964799
1017517,Lasso,pipe1,5,5,3.685914944362586,0.6711403650187723
10193953,SVR,pipe1,5,1,2.8520111693961097,0.7642661752754154
26395821,SVR,pipe1,5,2,2.85410217854842,0.7492546976953627
64552241,SVR,pipe1,5,3,3.102094558959997,0.6688210385667108
51689488,SVR,pipe1,5,4,2.9230682344429257,0.7052145302888242
81335115,SVR,pipe1,5,5,3.2039063324977217,0.7510778580697277
32702681,RandomForestRegressor,pipe1,5,1,2.9398153770471502,0.7176548543754221
88637058,RandomForestRegressor,pipe1,5,2,2.912926693476832,0.7290781408799393
2612521,RandomForestRegressor,pipe1,5,3,3.0354195292906447,0.7302458038786039
87366030,RandomForestRegressor,pipe1,5,4,2.625103854791063,0.767532470393766
19882236,RandomForestRegressor,pipe1,5,5,2.7805313287597984,0.8065520330069129
56820420,ExtraTreesRegressor,pipe1,5,1,2.771108835893267,0.7677648980957574
49167765,ExtraTreesRegressor,pipe1,5,2,2.705058010414036,0.7630446936135264
71709659,ExtraTreesRegressor,pipe1,5,3,3.0545254815727634,0.7124428213740177
73531501,ExtraTreesRegressor,pipe1,5,4,2.729336851691622,0.7659241416660325
54382203,ExtraTreesRegressor,pipe1,5,5,2.7465079382028885,0.8075416372421467
45368681,AdaBoostRegressor,pipe1,5,1,2.758218616615244,0.7797934180933621
71029709,AdaBoostRegressor,pipe1,5,2,3.1598115656056054,0.6984938537966199
93737791,AdaBoostRegressor,pipe1,5,3,3.15407978246788,0.7192192994165703
82500186,AdaBoostRegressor,pipe1,5,4,2.888376181977172,0.7718518454004345
92311810,AdaBoostRegressor,pipe1,5,5,3.06619727128722,0.7849612373334639
68414240,GradientBoostingRegressor,pipe1,5,1,3.1206395421626465,0.7018575268589808
76090591,GradientBoostingRegressor,pipe1,5,2,2.9382737394948912,0.7280968806014978
73582569,GradientBoostingRegressor,pipe1,5,3,3.0456676754971923,0.704141245522302
85133657,GradientBoostingRegressor,pipe1,5,4,2.811926347228564,0.7605079463133182
21971545,GradientBoostingRegressor,pipe1,5,5,2.8982289382244213,0.7970629977803683
71440083,LinearRegression,pipe2,5,1,2.3489406779661017,0.8490290860748716
19410857,LinearRegression,pipe2,5,2,2.6924258474576277,0.7739256208245573
25570002,LinearRegression,pipe2,5,3,3.2360169491525426,0.7406334448561183
77692170,LinearRegression,pipe2,5,4,3.0796610169491525,0.7113761223585787
20084723,LinearRegression,pipe2,5,5,3.11551724137931,0.7959815508543493
35900611,Ridge,pipe2,5,1,2.3550862786615165,0.8486442652145517
22036927,Ridge,pipe2,5,2,2.698391395470624,0.7717992969967279
6239612,Ridge,pipe2,5,3,3.2494940579248968,0.7373489887074908
7997059,Ridge,pipe2,5,4,3.068579544273802,0.7131296646230489
68769886,Ridge,pipe2,5,5,3.115748848142463,0.7933645658383341
64184632,Lasso,pipe2,5,1,3.6581653942144334,0.6717455923694537
35638679,Lasso,pipe2,5,2,3.9438731749272713,0.54695083310272
6062503,Lasso,pipe2,5,3,4.373750077550628,0.566129798076513
91775075,Lasso,pipe2,5,4,3.750057400185304,0.5980434682894487
92834229,Lasso,pipe2,5,5,4.3187622532021495,0.5668176326591646
52426092,SVR,pipe2,5,1,2.640499487040713,0.8118228053775143
85785691,SVR,pipe2,5,2,2.9417147199159683,0.7218887872890891
28671696,SVR,pipe2,5,3,3.3608445790099912,0.6592663516820053
22517047,SVR,pipe2,5,4,2.8215504153760382,0.7298205143389241
90447402,SVR,pipe2,5,5,3.178380478759086,0.7302202293158016
91684831,RandomForestRegressor,pipe2,5,1,2.4733483048779807,0.8224232371394006
61184527,RandomForestRegressor,pipe2,5,2,2.7189493989052367,0.7632048889343225
33404068,RandomForestRegressor,pipe2,5,3,3.41369688751635,0.6994511908228607
31399679,RandomForestRegressor,pipe2,5,4,3.055195314655053,0.7266012045768642
73216848,RandomForestRegressor,pipe2,5,5,2.71408573144414,0.8092518235316157
91934108,ExtraTreesRegressor,pipe2,5,1,2.74039891942477,0.7726481152234591
8190785,ExtraTreesRegressor,pipe2,5,2,2.8762783216946786,0.7301330609754826
59823684,ExtraTreesRegressor,pipe2,5,3,3.4043038090829083,0.6963814660248082
75085975,ExtraTreesRegressor,pipe2,5,4,2.9548889500196727,0.7363241938479768
84181576,ExtraTreesRegressor,pipe2,5,5,2.680792980142912,0.8146686986912157
54205934,AdaBoostRegressor,pipe2,5,1,2.4461277560158643,0.8092106695406135
48273768,AdaBoostRegressor,pipe2,5,2,2.6802695518903628,0.7786975324179393
33182199,AdaBoostRegressor,pipe2,5,3,3.5394556042962337,0.6745802229646054
81948579,AdaBoostRegressor,pipe2,5,4,3.3430484770356963,0.7040518717155302
21737214,AdaBoostRegressor,pipe2,5,5,3.0190767544332697,0.7818632975421045
49697000,GradientBoostingRegressor,pipe2,5,1,3.1077774617444565,0.6805532271009466
11574819,GradientBoostingRegressor,pipe2,5,2,2.919006122787733,0.7325283164361587
3163461,GradientBoostingRegressor,pipe2,5,3,3.784374380193965,0.6150185845008993
69473902,GradientBoostingRegressor,pipe2,5,4,3.0453491273856046,0.7089826132022351
43592589,GradientBoostingRegressor,pipe2,5,5,2.988230250502585,0.7833703244123769
62624611,LinearRegression,pipe3,5,1,2.5641610837353714,0.8265156178876245
94101189,LinearRegression,pipe3,5,2,3.0367133440242253,0.7022519453196201
90102953,LinearRegression,pipe3,5,3,3.3593178397105063,0.7179780483776759
27599652,LinearRegression,pipe3,5,4,3.1507203541477797,0.7109663345554599
41030336,LinearRegression,pipe3,5,5,3.107139499850846,0.7903481600958142
78073691,Ridge,pipe3,5,1,2.5556886087494384,0.8275345147160391
75537373,Ridge,pipe3,5,2,3.0342451432491515,0.7031747713244565
8923170,Ridge,pipe3,5,3,3.358020090636409,0.719477981758867
93068177,Ridge,pipe3,5,4,3.1465678466135336,0.7114120297908009
96755674,Ridge,pipe3,5,5,3.111119884440241,0.7897522461630838
24757003,Lasso,pipe3,5,1,3.235364209620722,0.7464305712231055
76714867,Lasso,pipe3,5,2,3.2700312567145766,0.6399023769976637
89533952,Lasso,pipe3,5,3,3.609000406826207,0.708213892096826
69209393,Lasso,pipe3,5,4,3.7110881138465497,0.6133353734006595
17119830,Lasso,pipe3,5,5,3.7400023963202833,0.6922108976603201
69520362,SVR,pipe3,5,1,2.334485945210345,0.8505835001759101
25285614,SVR,pipe3,5,2,2.9095834994800707,0.7334427307919484
39755303,SVR,pipe3,5,3,3.332131806288746,0.6904340922455812
74189493,SVR,pipe3,5,4,2.8536876525341657,0.7252033967310247
97489967,SVR,pipe3,5,5,3.1116574476899674,0.7455420058047935
76856074,RandomForestRegressor,pipe3,5,1,2.498662311674744,0.8226485239718977
37758202,RandomForestRegressor,pipe3,5,2,2.808716443411436,0.751396323485654
86435237,RandomForestRegressor,pipe3,5,3,3.4127992906859843,0.7050052751681111
80311515,RandomForestRegressor,pipe3,5,4,3.0394106802179124,0.7240668704103514
38775290,RandomForestRegressor,pipe3,5,5,2.807856817622767,0.8025769506088902
6386655,ExtraTreesRegressor,pipe3,5,1,2.4362421500582725,0.835589379816082
81372391,ExtraTreesRegressor,pipe3,5,2,2.7159551800226733,0.7566174467260359
59906300,ExtraTreesRegressor,pipe3,5,3,3.4089867975814574,0.6896081485823558
48133634,ExtraTreesRegressor,pipe3,5,4,3.0183160585471023,0.7230275729826336
27309055,ExtraTreesRegressor,pipe3,5,5,2.740614465075818,0.8116041962523501
59292356,AdaBoostRegressor,pipe3,5,1,2.5963100131206067,0.8010252512972026
27828155,AdaBoostRegressor,pipe3,5,2,2.854340260549556,0.7553971188001191
27259681,AdaBoostRegressor,pipe3,5,3,3.6583034622035977,0.6837168979628274
79566492,AdaBoostRegressor,pipe3,5,4,3.0224805675654247,0.7418619541826715
37205425,AdaBoostRegressor,pipe3,5,5,2.867135164182835,0.8028157052152096
45572935,GradientBoostingRegressor,pipe3,5,1,3.1415395238029653,0.6880665516221582
73621090,GradientBoostingRegressor,pipe3,5,2,2.917730175430582,0.7378394217077003
45721395,GradientBoostingRegressor,pipe3,5,3,3.714940454144069,0.6350776284648227
64268570,GradientBoostingRegressor,pipe3,5,4,3.133471955322594,0.7049663134838158
80926755,GradientBoostingRegressor,pipe3,5,5,3.0159257708326916,0.7792231005515244
46063949,LinearRegression,pipe4,5,1,2.5641610837353723,0.8265156178876243
62447051,LinearRegression,pipe4,5,2,3.0367133440242258,0.7022519453196198
2882062,LinearRegression,pipe4,5,3,3.3479354333922893,0.7181031552438728
24312484,LinearRegression,pipe4,5,4,3.203977798458784,0.7065462884540413
51401654,LinearRegression,pipe4,5,5,3.1154214961180027,0.7886773914915308
69192162,Ridge,pipe4,5,1,2.560447465867617,0.8267791607773785
83608275,Ridge,pipe4,5,2,3.0339693901381235,0.7027811427829557
70304629,Ridge,pipe4,5,3,3.3587025390244327,0.7178932847498655
39607180,Ridge,pipe4,5,4,3.1455567333371337,0.7117191626440864
87598161,Ridge,pipe4,5,5,3.108050577510763,0.7898642726629959
55244018,Lasso,pipe4,5,1,2.7586839324555847,0.8076819750766394
68780759,Lasso,pipe4,5,2,3.104521213401035,0.7000093652638646
79668277,Lasso,pipe4,5,3,3.5079359101251164,0.6986653021968252
17849297,Lasso,pipe4,5,4,3.2077578274269003,0.7043009809810129
82193847,Lasso,pipe4,5,5,3.444178898321446,0.727555048571108
54626400,SVR,pipe4,5,1,2.9055896896731275,0.7737164778271666
43302504,SVR,pipe4,5,2,3.24822047655933,0.6933925772274553
84001544,SVR,pipe4,5,3,3.756288467042918,0.6136641089091492
89773246,SVR,pipe4,5,4,2.941162985211872,0.6941421363947283
20339224,SVR,pipe4,5,5,3.422706569777168,0.6967737297634294
95383920,RandomForestRegressor,pipe4,5,1,2.498662311674744,0.8226485239718976
96666863,RandomForestRegressor,pipe4,5,2,2.808716443411436,0.7513963234856539
64242301,RandomForestRegressor,pipe4,5,3,3.4127992906859834,0.7050052751681111
81562696,RandomForestRegressor,pipe4,5,4,3.0394106802179124,0.7240668704103516
5941210,RandomForestRegressor,pipe4,5,5,2.807856817622765,0.8025769506088904
76765660,ExtraTreesRegressor,pipe4,5,1,2.4362421500582725,0.8355893798160818
57432370,ExtraTreesRegressor,pipe4,5,2,2.7159551800226738,0.7566174467260359
12927346,ExtraTreesRegressor,pipe4,5,3,3.4089867975814574,0.6896081485823558
85767637,ExtraTreesRegressor,pipe4,5,4,3.0183160585471014,0.7230275729826339
12910051,ExtraTreesRegressor,pipe4,5,5,2.740614465075819,0.8116041962523501
3884799,AdaBoostRegressor,pipe4,5,1,2.5963100131206067,0.8010252512972026
50090322,AdaBoostRegressor,pipe4,5,2,2.854340260549556,0.7553971188001191
80804966,AdaBoostRegressor,pipe4,5,3,3.6583034622035977,0.6837168979628274
15401574,AdaBoostRegressor,pipe4,5,4,3.0224805675654247,0.7418619541826715
39166816,AdaBoostRegressor,pipe4,5,5,2.867135164182835,0.8028157052152096
54360417,GradientBoostingRegressor,pipe4,5,1,3.141237081829043,0.6881270237132205
17318665,GradientBoostingRegressor,pipe4,5,2,2.917730175430582,0.7378394217077003
20533796,GradientBoostingRegressor,pipe4,5,3,3.6936606230434035,0.6400332244412887
87658486,GradientBoostingRegressor,pipe4,5,4,3.133471955322594,0.7049663134838158
22581070,GradientBoostingRegressor,pipe4,5,5,3.0159257708326916,0.7792231005515244
93901634,LinearRegression,pipe5,5,1,2.683167695730665,0.8190474580292836
17208053,LinearRegression,pipe5,5,2,2.476700790741015,0.8159921321067705
23478115,LinearRegression,pipe5,5,3,2.5333677837202337,0.8372397521756954
49748765,LinearRegression,pipe5,5,4,2.4978573096013017,0.8244175476120739
78412968,LinearRegression,pipe5,5,5,2.5722012988546923,0.8438469782557382
64477828,Ridge,pipe5,5,1,2.6712002210087986,0.8214493075875581
56483047,Ridge,pipe5,5,2,2.4631600362497417,0.8183430838400686
3803200,Ridge,pipe5,5,3,2.53116696484322,0.8330111999837753
24127898,Ridge,pipe5,5,4,2.48983096220718,0.8238332012238154
76760183,Ridge,pipe5,5,5,2.5536804356298606,0.8456446469261625
95918884,Lasso,pipe5,5,1,2.6317324935763065,0.8194901554325404
75661365,Lasso,pipe5,5,2,2.4526988166232275,0.8081055778930682
76459,Lasso,pipe5,5,3,2.6749756512565184,0.8001397712136296
3264804,Lasso,pipe5,5,4,2.5410436179490965,0.7984176788428718
63160361,Lasso,pipe5,5,5,3.0472234172713573,0.7907150151176765
25408241,SVR,pipe5,5,1,2.508040166589591,0.8282214847206741
15121870,SVR,pipe5,5,2,2.6184628026671626,0.7879878666259439
95123710,SVR,pipe5,5,3,3.039178015851034,0.7172712866801729
80017819,SVR,pipe5,5,4,2.615706968647581,0.7625234365650049
79286554,SVR,pipe5,5,5,2.7645335511228484,0.778388351625408
95862029,RandomForestRegressor,pipe5,5,1,2.4089847521360137,0.8171876892821769
43051195,RandomForestRegressor,pipe5,5,2,2.1383082750971307,0.8319950206701763
40302802,RandomForestRegressor,pipe5,5,3,2.3723438396041368,0.7986145429512358
75397909,RandomForestRegressor,pipe5,5,4,2.078963089166764,0.8672978968431071
64854930,RandomForestRegressor,pipe5,5,5,2.3241774581253583,0.8618941320288168
7815398,ExtraTreesRegressor,pipe5,5,1,2.094449088660689,0.8615449518541185
76802217,ExtraTreesRegressor,pipe5,5,2,1.9497787947810301,0.8598610014282162
31968073,ExtraTreesRegressor,pipe5,5,3,2.4046867779625902,0.7997169639073112
42185613,ExtraTreesRegressor,pipe5,5,4,2.1597311650681856,0.8485343592579159
1372293,ExtraTreesRegressor,pipe5,5,5,2.068251540374134,0.8770339404391768
49543068,AdaBoostRegressor,pipe5,5,1,2.537363482376813,0.8159808218253898
19581140,AdaBoostRegressor,pipe5,5,2,2.1369892886353057,0.8611377969633607
98757887,AdaBoostRegressor,pipe5,5,3,2.4485705142331966,0.8209777076820907
7641224,AdaBoostRegressor,pipe5,5,4,2.2987517778548745,0.8471904856612118
18024419,AdaBoostRegressor,pipe5,5,5,2.351409561435128,0.8612552662122201
30243485,GradientBoostingRegressor,pipe5,5,1,2.478654023845633,0.8097760796462131
94615078,GradientBoostingRegressor,pipe5,5,2,2.1553083520022867,0.8227246980260953
19623679,GradientBoostingRegressor,pipe5,5,3,2.3656074210566853,0.8166963985910898
51930555,GradientBoostingRegressor,pipe5,5,4,1.990644890965279,0.8759052220898366
41255138,GradientBoostingRegressor,pipe5,5,5,2.1925159552523317,0.8838045720801644
13085828,LinearRegression,pipe6,5,1,3.267405241600464,0.7149933332101315
52730828,LinearRegression,pipe6,5,2,3.3425723376211067,0.6921909654167318
18843247,LinearRegression,pipe6,5,3,3.325939256012732,0.6841651113948628
32569760,LinearRegression,pipe6,5,4,3.0423627332892886,0.7126695378483665
93580015,LinearRegression,pipe6,5,5,3.5691396685502936,0.7052379351652662
30096349,Ridge,pipe6,5,1,3.267797802837045,0.7149881642148834
65549510,Ridge,pipe6,5,2,3.3377424954728383,0.6928293152855641
25861619,Ridge,pipe6,5,3,3.3278465399089736,0.6838640449316487
88778839,Ridge,pipe6,5,4,3.044998502351664,0.7130521434935155
25672959,Ridge,pipe6,5,5,3.5616045946751402,0.7054117230116647
28056885,Lasso,pipe6,5,1,3.329859408633677,0.7071014178477829
98333842,Lasso,pipe6,5,2,3.344381916544769,0.6795698124801647
52681896,Lasso,pipe6,5,3,3.5049528229664126,0.6703012836756578
4079259,Lasso,pipe6,5,4,3.0943877999410683,0.7030070275964799
53746893,Lasso,pipe6,5,5,3.685914936902978,0.671140365913351
89538054,SVR,pipe6,5,1,2.840945979479993,0.7595333420419654
54556666,SVR,pipe6,5,2,3.0786324267068648,0.7135120260397682
34026916,SVR,pipe6,5,3,3.229944729605213,0.6602056703520063
83073248,SVR,pipe6,5,4,2.8826994445398504,0.7161147615561652
13145866,SVR,pipe6,5,5,3.33718473439674,0.7235220188049252
25832816,RandomForestRegressor,pipe6,5,1,2.9525915932406823,0.7226991098956228
37711430,RandomForestRegressor,pipe6,5,2,3.2839632124817126,0.6567247888661618
79979631,RandomForestRegressor,pipe6,5,3,3.471482503121583,0.6146664770718164
75627820,RandomForestRegressor,pipe6,5,4,2.683241730302813,0.777257627665469
5930305,RandomForestRegressor,pipe6,5,5,3.1976394259551,0.7743024462928431
69130121,ExtraTreesRegressor,pipe6,5,1,2.7362769560453213,0.7730998169342551
5211663,ExtraTreesRegressor,pipe6,5,2,2.9512287675495643,0.7273865566115347
59812182,ExtraTreesRegressor,pipe6,5,3,3.272666408490159,0.6625580291029091
62402643,ExtraTreesRegressor,pipe6,5,4,2.6422466983707484,0.7789678139192324
73606995,ExtraTreesRegressor,pipe6,5,5,3.0979625134662365,0.7815313401524091
45214584,AdaBoostRegressor,pipe6,5,1,2.796557765252388,0.7494991732880638
27435753,AdaBoostRegressor,pipe6,5,2,3.6754897413234446,0.5992775899779779
60687157,AdaBoostRegressor,pipe6,5,3,3.778927285588268,0.6079647271667626
97245078,AdaBoostRegressor,pipe6,5,4,3.02153368239362,0.7492386656500023
15971087,AdaBoostRegressor,pipe6,5,5,3.4171018474620145,0.7483290434582509
53827581,GradientBoostingRegressor,pipe6,5,1,3.381222417764482,0.6804584565757967
63112936,GradientBoostingRegressor,pipe6,5,2,3.6955460902288246,0.5450594215149567
19445246,GradientBoostingRegressor,pipe6,5,3,3.548012839401109,0.5665684928148345
30184079,GradientBoostingRegressor,pipe6,5,4,2.959788217688554,0.7259149090821021
11134047,GradientBoostingRegressor,pipe6,5,5,3.500631066737689,0.6760809346801486
59541375,LinearRegression,pipe7,5,1,3.5540414240688056,0.6722199725357609
19104400,LinearRegression,pipe7,5,2,3.3771219435646587,0.676680456313748
